Date,Open,High,Low,Close
2025-04-30,3315.29,3327.845,3267.735,3288.4
2025-05-01,3287.955,3290.18,3202.78,3238.95
2025-05-02,3240.495,3269.29,3223.13,3233.67
2025-05-05,3241.03,3337.455,3237.935,3333.915
2025-05-06,3335.865,3434.945,3323.775,3431.765
2025-05-07,3437.845,3437.935,3360.485,3364.485
2025-05-08,3364.48,3414.54,3289.18,3305.51
2025-05-09,3306.79,3347.395,3274.845,3328.945
2025-05-12,3271.86,3311.24,3207.875,3235.915
2025-05-13,3238.655,3265.145,3216.195,3250.225
2025-05-14,3250.22,3257.12,3169.04,3177.53
2025-05-15,3177.33,3240.67,3121.19,3239.83
2025-05-16,3240.23,3252.16,3154.69,3192.46
2025-05-19,3210.48,3249.705,3207.105,3229.755
2025-05-20,3230.68,3295.755,3204.685,3289.985
2025-05-21,3290.6,3324.85,3286.11,3315.43
2025-05-22,3315.425,3345.365,3280.575,3294.745
2025-05-23,3294.75,3365.91,3287.32,3360.91
2025-05-26,3355.43,3356.62,3324.4,3342.25
2025-05-27,3343.13,3349.785,3286.555,3300.705
2025-05-28,3301.715,3325.395,3277.105,3287.525
2025-05-29,3287.52,3330.64,3245.72,3317.72
2025-05-30,3317.725,3322.665,3272.025,3294.895
2025-06-02,3299.42,3382.88,3299.42,3381.62
2025-06-03,3382.59,3392.18,3333.56,3353.45
2025-06-04,3353.445,3384.675,3344.095,3372.695
2025-06-05,3372.7,3402.79,3339.98,3352.82
2025-06-06,3352.825,3375.625,3311.455,3312.435
2025-06-09,3311.845,3338.185,3293.875,3325.665
2025-06-10,3326.225,3349.195,3301.975,3323.225
2025-06-11,3322.245,3360.515,3315.845,3355.075
2025-06-12,3356.525,3398.835,3339.145,3385.88
2025-06-13,3385.355,3446.72,3380.02,3432.53
2025-06-16,3452.005,3454.04,3382.99,3385.24
2025-06-17,3386.13,3403.33,3366.36,3388.63
2025-06-18,3391.62,3399.86,3362.89,3369.41
2025-06-19,3369.415,3387.745,3348.005,3370.625
2025-06-20,3370.255,3374.365,3340.535,3365.465
2025-06-23,3396.525,3396.525,3347.705,3368.755
2025-06-24,3368.4,3369.515,3295.695,3324.035
2025-06-25,3324.635,3337.065,3312.215,3332.295
2025-06-26,3335.045,3350.245,3310.405,3327.905
2025-06-27,3327.8,3327.995,3256.535,3271.135
2025-06-30,3277.21,3309.45,3248.61,3303.05
2025-07-01,3303.045,3357.845,3302.415,3338.525
2025-07-02,3339.34,3360.055,3327.745,3357.675
2025-07-03,3358.51,3365.825,3311.905,3326.105
2025-07-04,3325.725,3345.095,3323.695,3337.345
2025-07-07,3336.21,3342.525,3297.035,3336.965
2025-07-08,3339.36,3345.715,3287.435,3301.605
2025-07-09,3302.635,3316.885,3282.965,3313.685
2025-07-10,3314.645,3330.325,3310.435,3324.045
2025-07-11,3324.495,3359.905,3322.005,3356.445
2025-07-14,3363.19,3374.965,3341.195,3343.505
2025-07-15,3344.385,3366.315,3320.415,3323.985
2025-07-16,3324.585,3376.785,3319.945,3347.575
2025-07-17,3348.825,3352.145,3310.035,3339.205
2025-07-18,3341.755,3361.255,3331.925,3348.295
2025-07-21,3349.57,3401.145,3343.44,3397.135
2025-07-22,3397.715,3433.415,3383.415,3431.745
2025-07-23,3432.055,3439.025,3382.195,3387.265
2025-07-24,3389.855,3393.475,3351.605,3368.625
2025-07-25,3368.425,3373.365,3325.555,3337.535
2025-07-28,3316.95,3345.215,3301.985,3314.625
2025-07-29,3314.955,3333.995,3308.405,3326.615
2025-07-30,3326.915,3334.075,3268.415,3275.52
2025-07-31,3276.765,3314.685,3274.155,3289.985
2025-08-01,3290.435,3361.275,3281.795,3357.095
2025-08-04,3366.445,3385.365,3345.125,3373.705
2025-08-05,3374.525,3390.455,3349.985,3380.895
2025-08-06,3381.45,3385.395,3358.345,3369.365
2025-08-07,3370.575,3401.765,3365.345,3397.78
2025-08-08,3404.015,3407.33,3377.8,3398.505
2025-08-11,3399.265,3404.625,3341.695,3342.625
2025-08-12,3343.3,3358.365,3331.335,3348.205
2025-08-13,3349.155,3370.705,3342.755,3355.995
2025-08-14,3357.255,3374.715,3330.025,3335.535
2025-08-15,3336.915,3348.855,3332.435,3339.135
2025-08-18,3337.09,3358.305,3323.815,3332.915
2025-08-19,3333.61,3345.325,3315.085,3315.9
2025-08-20,3316.525,3350.035,3311.625,3348.515
2025-08-21,3350.565,3352.175,3325.865,3339.075
2025-08-22,3339.185,3378.665,3321.525,3373.235
2025-08-25,3371.3,3376.175,3359.845,3365.775
2025-08-26,3365.58,3393.715,3351.395,3393.685
2025-08-27,3393.35,3398.805,3373.955,3397.475
2025-08-28,3398.985,3423.005,3384.735,3416.615
2025-08-29,3417.665,3453.725,3404.545,3452.355
2025-09-01,3448.08,3489.865,3437.155,3476.665
2025-09-02,3477.51,3539.935,3470.365,3533.125
2025-09-03,3532.43,3578.425,3526.575,3559.605
2025-09-04,3561.375,3563.825,3511.995,3545.955
2025-09-05,3546.145,3599.985,3540.155,3594.685
2025-09-08,3584.655,3646.135,3580.235,3636.02
2025-09-09,3635.63,3673.825,3625.74,3626.01
2025-09-10,3622.95,3657.445,3621.015,3640.705
2025-09-11,3642.95,3649.115,3614.315,3634.035
2025-09-12,3634.215,3656.615,3630.565,3644.185
2025-09-15,3645.14,3685.505,3626.815,3679.245
2025-09-16,3680.33,3703.075,3674.955,3689.805
2025-09-17,3689.505,3707.235,3646.255,3659.65
2025-09-18,3659.69,3672.975,3628.345,3644.475
2025-09-19,3643.755,3685.205,3632.955,3684.445
2025-09-22,3687.4,3748.825,3683.815,3746.5
2025-09-23,3745.805,3790.985,3737.375,3764.68
2025-09-24,3765.895,3779.195,3717.485,3736.135
2025-09-25,3736.805,3761.515,3722.595,3749.375
2025-09-26,3751.29,3783.695,3734.855,3766.715
2025-09-29,3757.415,3834.225,3757.05,3833.46
2025-09-30,3833.345,3871.785,3793.385,3858.72
2025-10-01,3858.98,3895.345,3853.565,3865.745
2025-10-02,3868.085,3896.575,3820.165,3856.605
2025-10-03,3856.285,3891.405,3838.235,3885.925
2025-10-06,3888.295,3969.835,3884.405,3960.055
2025-10-07,3958.905,3990.975,3941.025,3984.845
2025-10-08,3984.985,4059.075,3983.405,4041.01
2025-10-09,4044.36,4057.855,3945.085,3977.06
2025-10-10,3975.085,4022.105,3947.625,4010.675
2025-10-13,3994.32,4117.185,3994.32,4110.23
2025-10-14,4109.425,4179.575,4090.885,4141.98
2025-10-15,4144.04,4218.255,4140.815,4208.05
2025-10-16,4210.195,4330.495,4200.435,4328.08
2025-10-17,4332.045,4379.535,4187.775,4225.385
2025-10-20,4252.07,4381.205,4219.325,4356.07
2025-10-21,4354.315,4375.125,4082.055,4124.82
2025-10-22,4126.255,4161.385,4004.585,4098.34
2025-10-23,4095.585,4154.765,4066.715,4126.67
2025-10-24,4130.115,4143.985,4045.655,4103.945
2025-10-27,4083.415,4097.425,3972.225,3989.755
2025-10-28,3990.035,4019.575,3886.915,3934.685
2025-10-29,3934.115,4030.015,3917.525,3941.685
