Date,Open,High,Low,Close,Volume
2024-12-02,393.64,398.7899,374.36,380.3,23404298
2024-12-03,367.85,393.1227,362.67,373.43,22817455
2024-12-04,380.0,409.97,365.6,406.0,29862186
2024-12-05,440.12,444.9447,379.35,386.4,46189812
2024-12-06,395.29,405.0,384.02,395.01,26206157
2024-12-09,394.0,399.8,363.44,365.34,22606091
2024-12-10,373.37,379.8,356.05,377.32,20139878
2024-12-11,385.66,412.6799,385.5,411.4,27594366
2024-12-12,413.71,415.8043,386.11,392.19,21074260
2024-12-13,400.07,409.71,388.88,408.67,21536882
2024-12-16,424.87,437.6099,406.455,408.5,31099439
2024-12-17,413.45,415.68,386.01,386.42,21821974
2024-12-18,386.0,390.32,338.0,349.64,24422921
2024-12-19,365.44,367.5,323.48,326.46,26922884
2024-12-20,319.37,364.88,317.0,364.2,44889882
2024-12-23,358.0,359.7411,329.08,332.23,21742486
2024-12-24,343.5,361.0,342.7,358.18,16377781
2024-12-26,350.305,351.7999,340.0,341.05,13295118
2024-12-27,342.3,342.705,323.2,330.0,13778471
2024-12-30,319.4,320.01,301.7489,302.96,25771230
2024-12-31,316.96,317.91,285.01,289.62,22486110
2025-01-02,300.11,310.8,292.315,300.01,17933875
2025-01-03,303.0,343.4,301.7663,339.66,25039041
2025-01-06,349.85,383.02,335.5,379.09,26707279
2025-01-07,366.47,371.28,335.3,341.425,24736771
2025-01-08,335.245,344.39,317.22,331.7,18274784
2025-01-10,330.31,337.0,317.91,327.91,16478719
2025-01-13,309.95,329.6,303.8,328.4,15914503
2025-01-14,343.0,354.9,331.3,342.17,17889530
2025-01-15,357.81,368.42,353.0129,360.62,19941337
2025-01-16,357.81,370.2588,345.8,367.0,14826626
2025-01-17,383.28,398.68,380.1528,396.5,24339148
2025-01-21,395.455,404.4173,367.76,389.1,26215758
2025-01-22,384.91,390.35,371.0498,377.31,16000314
2025-01-23,371.75,390.2,370.7,373.12,23306469
2025-01-24,377.665,378.11,351.0,353.67,22943783
2025-01-27,340.5,356.88,322.3,347.92,21224434
2025-01-28,344.68,348.9201,333.09,335.93,11461371
2025-01-29,338.195,343.63,329.33,341.25,11716796
2025-01-30,345.83,356.1147,338.5201,340.09,12607754
2025-01-31,340.11,352.71,332.0,334.79,15565985
2025-02-03,310.0,348.85,308.9,347.09,18207270
2025-02-04,341.195,353.79,340.45,348.31,12485965
2025-02-05,349.0,352.36,333.55,336.7,10973940
2025-02-06,338.7,344.5,320.71,325.46,12795184
2025-02-07,335.0,344.4,327.0,327.56,15049714
2025-02-10,333.5,340.38,328.3,334.62,10104081
2025-02-11,332.98,338.5,318.7,319.46,12017214
2025-02-12,315.96,331.17,314.19,326.82,9837883
2025-02-13,325.5,330.59,317.35,324.92,9848079
2025-02-14,325.15,344.89,323.7128,337.73,13912763
2025-02-18,337.35,340.49,326.785,333.97,10179752
2025-02-19,337.3,340.19,317.22,318.67,17043129
2025-02-20,323.73,327.83,314.95,323.92,12291749
2025-02-21,327.93,329.0,299.04,299.69,17930836
2025-02-24,304.0,304.04,276.395,282.475,17974948
2025-02-25,268.1,270.29,243.7,250.51,31379590
2025-02-26,245.39,264.46,244.01,263.27,19876850
2025-02-27,267.425,271.4552,239.48,240.05,18520303
2025-02-28,238.315,257.4999,231.92,255.43,22662629
2025-03-03,293.18,295.1,246.1,250.92,30575720
2025-03-04,240.28,293.04,237.0102,275.15,30130174
2025-03-05,278.305,311.28,271.77,308.55,26199769
2025-03-06,298.95,320.94,292.17,304.11,25309508
2025-03-07,298.145,310.44,281.44,287.18,22764487
2025-03-10,268.0,272.0,231.62,239.27,31478334
2025-03-11,245.0,263.0999,231.51,260.59,22076133
2025-03-12,264.6,269.7721,248.22,262.55,14328551
2025-03-13,262.0,270.405,253.76,263.26,13804685
2025-03-14,273.99,298.7,272.62,297.49,23714043
2025-03-17,292.15,296.8068,281.6,294.27,12998721
2025-03-18,283.2,290.99,272.5,283.19,15398200
2025-03-19,290.3,309.0832,287.12,304.23,19378788
2025-03-20,298.79,309.4,293.4,302.07,15058059
2025-03-21,295.7,306.39,293.0493,304.0,21773999
2025-03-24,316.14,336.77,311.36,335.72,23099744
2025-03-25,333.48,343.5899,329.5,341.81,15053724
2025-03-26,336.5,340.3399,319.73,329.31,16797178
2025-03-27,322.53,333.49,318.0,324.59,13838338
2025-03-28,318.38,320.8,289.25,289.41,21058915
2025-03-31,281.87,294.885,272.8,288.27,14866292
2025-04-01,293.53,307.6,280.6509,306.02,16780113
2025-04-02,297.86,319.47,296.98,312.54,16293825
2025-04-03,286.75,299.2249,276.03,282.28,18223003
