Date,Open,High,Low,Close,Volume
2008-03-18,8.39,8.75,7.6,8.55,109481
2008-03-19,8.7,8.75,8.17,8.18,25266
2008-03-20,8.54,8.54,8.07,8.3,9913
2008-03-25,8.31,8.43,8.15,8.3,4164
2008-03-26,8.3,8.3,8.12,8.28,10204
2008-03-27,8.3,8.3,8.16,8.29,5324
2008-03-28,8.29,8.29,8.18,8.29,2227
2008-03-31,8.38,8.38,8.17,8.35,3218
2008-04-01,8.34,8.36,8.34,8.36,190
2008-04-02,8.36,8.99,8.36,8.79,65369
2008-04-03,8.97,8.97,8.75,8.9,31328
2008-04-04,9.0,9.0,8.75,8.92,86794
2008-04-07,9.0,9.0,8.51,8.9,12885
2008-04-08,8.97,8.97,8.7,8.89,8141
2008-04-09,8.88,8.9,8.8,8.85,10145
2008-04-10,8.89,8.89,8.8,8.86,1499
2008-04-11,8.89,8.9,8.66,8.8,5097
2008-04-14,9.05,9.1,8.8,9.04,4742
2008-04-15,8.99,8.99,8.67,8.97,4816
2008-04-16,8.94,8.94,8.42,8.88,1258
2008-04-17,8.8,8.9,8.52,8.8,7989
2008-04-18,8.79,8.79,8.33,8.54,14696
2008-04-21,8.54,8.54,7.8,8.0,11864
2008-04-22,8.0,8.1,7.56,7.98,16368
2008-04-23,7.98,7.98,7.74,7.9,2660
2008-04-24,7.56,8.1,7.03,7.67,62243
2008-04-25,7.89,8.17,7.74,7.9,7128
2008-04-28,7.94,7.95,7.76,7.95,3735
2008-04-29,7.95,7.95,7.4,7.8,1550
2008-04-30,7.8,7.8,7.79,7.8,814
2008-05-05,7.94,7.94,7.6,7.93,538
2008-05-06,7.94,7.94,7.74,7.94,67273
2008-05-07,7.93,7.95,7.8,7.95,1173
2008-05-08,7.94,8.0,7.74,8.0,4374
2008-05-09,7.94,7.94,7.65,7.94,1174
2008-05-12,7.94,7.94,7.74,7.9,2298
2008-05-13,7.9,7.94,7.79,7.8,4596
2008-05-14,7.94,7.94,7.46,7.46,4649
2008-05-15,7.89,7.94,7.51,7.79,4708
2008-05-16,7.78,7.79,7.06,7.79,10878
2008-05-19,7.89,7.9,7.28,7.79,3211
2008-05-20,7.79,7.79,7.65,7.7,5584
2008-05-21,7.74,7.74,7.38,7.7,4828
2008-05-23,7.7,7.71,7.4,7.71,6365
2008-05-26,7.73,7.74,7.62,7.7,13611
2008-05-27,7.68,7.68,7.4,7.65,1438
2008-05-28,7.68,7.68,7.64,7.67,1761
2008-05-29,7.68,7.68,7.4,7.66,3494
2008-05-30,7.66,7.68,7.4,7.66,2801
2008-06-02,8.35,8.35,7.68,7.86,1732
2008-06-03,8.09,8.09,7.85,7.96,2801
2008-06-04,7.96,7.96,7.69,7.69,1110
2008-06-05,7.89,7.89,7.61,7.88,662
2008-06-06,7.92,7.99,7.8,7.97,1709
2008-06-09,7.65,7.91,7.32,7.79,10254
2008-06-10,7.85,7.9,7.56,7.65,4060
2008-06-11,7.84,7.84,7.48,7.8,1787
2008-06-12,7.79,7.79,7.03,7.74,1287
2008-06-13,7.77,7.77,7.7,7.74,686
2008-06-16,7.83,7.83,7.49,7.8,862
2008-06-17,7.84,7.84,7.43,7.8,1733
2008-06-18,7.8,7.8,7.43,7.78,1149
2008-06-19,7.7,7.7,7.27,7.7,889
2008-06-20,7.79,7.79,7.51,7.75,1309
2008-06-23,7.74,7.74,7.39,7.63,2053
2008-06-24,7.71,7.71,7.3,7.69,1413
2008-06-25,7.69,7.69,7.33,7.64,3129
2008-06-26,7.68,7.68,7.05,7.4,3106
2008-06-27,7.45,7.67,7.06,7.2,2018
2008-06-30,7.2,7.2,7.2,7.2,270
2008-07-01,7.2,7.2,7.1,7.1,310
2008-07-02,7.14,7.19,6.71,7.19,575
2008-07-03,7.19,7.19,6.62,7.13,1628
2008-07-04,7.13,7.13,6.55,6.55,2215
2008-07-07,6.55,6.55,6.11,6.36,2266
2008-07-08,6.38,7.0,6.01,6.36,1822
2008-07-09,6.8,7.0,6.58,6.93,7344
2008-07-10,7.09,7.09,6.71,6.93,6758
