Date,Open,High,Low,Close,Volume
2022-05-31,10.37,10.37,9.982,10.105,5774205
2022-06-01,10.06,10.28,9.81,10.165,3114961
2022-06-02,10.14,10.175,9.95,10.06,2434817
2022-06-03,10.095,10.79,10.095,10.57,3667156
2022-06-06,10.55,10.635,10.33,10.5,1430150
2022-06-07,10.4,10.445,10.21,10.32,1399330
2022-06-08,10.265,10.4,10.115,10.16,1679754
2022-06-09,10.16,10.385,10.105,10.265,1309915
2022-06-10,10.1,10.5,10.02,10.27,2495263
2022-06-13,10.065,10.445,10.045,10.21,3216383
2022-06-14,10.215,10.35,10.075,10.35,2750756
2022-06-15,10.265,10.6,10.2,10.55,3708889
2022-06-17,10.4,11.1,10.34,10.87,5746982
2022-06-20,10.89,11.115,10.68,10.825,1237845
2022-06-21,10.905,11.045,10.825,11.02,1049316
2022-06-22,10.92,10.94,10.555,10.73,1784734
2022-06-23,10.585,10.89,10.56,10.715,1226261
2022-06-24,10.74,10.995,10.695,10.93,1248202
2022-06-27,10.9,11.05,10.75,11.025,1326334
2022-06-28,11.025,11.08,10.71,10.81,2256947
2022-06-29,10.8,10.8,10.6,10.755,1862649
2022-06-30,10.685,10.78,10.565,10.655,2780307
2022-07-01,10.65,11.07,10.65,10.88,1978117
2022-07-04,10.9,11.06,10.5,10.535,4718183
2022-07-05,10.6,10.65,10.365,10.5,2099979
2022-07-06,10.5,10.52,9.706,9.878,3761730
2022-07-07,9.988,10.305,9.79,10.305,2113989
2022-07-08,10.28,10.48,10.13,10.345,2155652
2022-07-11,10.0,10.185,9.462,9.792,2943596
2022-07-12,9.78,10.0,9.596,9.956,2626018
2022-07-13,9.77,10.025,9.654,9.838,1816358
2022-07-14,9.874,10.155,9.864,10.05,2839753
2022-07-15,9.824,10.08,9.824,9.942,1296329
2022-07-18,9.884,10.28,9.884,10.255,1365610
2022-07-19,10.28,10.79,10.265,10.535,2599735
2022-07-20,10.6,10.6,10.25,10.52,1845130
2022-07-21,10.52,10.58,10.265,10.355,1065629
2022-07-22,10.35,10.6,10.31,10.54,750662
2022-07-25,10.54,10.595,10.295,10.33,704554
2022-07-26,10.29,10.545,10.27,10.545,1528417
2022-07-27,10.33,10.56,10.17,10.47,1802774
2022-07-28,10.33,10.385,10.03,10.16,1340887
2022-07-29,10.15,10.345,10.105,10.34,1814672
2022-08-01,10.34,10.34,10.125,10.2,1103764
2022-08-02,10.055,10.295,9.828,9.898,2652250
2022-08-03,9.916,10.1,9.6,9.926,2354602
2022-08-04,10.0,10.0,9.5,9.512,1247261
2022-08-05,9.51,9.78,9.51,9.548,1628576
2022-08-08,9.604,9.856,9.424,9.8,1726711
2022-08-09,9.86,9.888,9.698,9.734,1077443
2022-08-10,9.662,9.788,9.55,9.574,1053052
2022-08-11,9.718,9.718,9.56,9.63,963570
2022-08-12,9.598,9.73,9.542,9.73,768028
2022-08-16,9.75,9.948,9.546,9.626,1873865
2022-08-17,9.73,9.73,9.35,9.582,1076398
2022-08-18,9.48,9.604,9.378,9.448,1405989
2022-08-19,9.35,9.35,8.964,8.964,2442104
2022-08-22,9.05,9.05,8.62,8.694,1645954
2022-08-23,8.694,8.922,8.62,8.684,2317405
2022-08-24,8.72,8.72,8.242,8.274,1650827
2022-08-25,8.43,8.476,8.154,8.172,1213167
2022-08-26,8.19,8.19,7.562,7.648,2532376
2022-08-29,7.54,7.554,7.222,7.484,2962250
2022-08-30,7.49,7.602,7.196,7.2,2305033
2022-08-31,7.294,7.32,7.08,7.172,3317517
2022-09-01,7.1,7.232,6.94,7.044,2405165
2022-09-02,7.208,7.386,7.004,7.212,3500632
2022-09-05,7.186,7.26,7.0,7.068,917641
2022-09-06,7.08,7.18,6.71,6.718,1705652
2022-09-07,6.652,7.23,6.55,7.224,2990834
2022-09-08,7.35,7.53,7.158,7.186,2616437
2022-09-09,7.28,7.67,7.204,7.628,2034402
2022-09-12,7.68,7.68,7.17,7.23,2352822
2022-09-13,7.32,7.32,6.87,6.932,2829736
2022-09-14,6.91,6.99,6.768,6.906,2272406
2022-09-15,6.97,7.05,6.75,6.818,3302473
2022-09-16,6.758,6.99,6.64,6.66,12926654
2022-09-19,6.7,7.056,6.7,7.05,2238591
2022-09-20,7.076,7.15,6.83,6.884,2342537
2022-09-21,6.87,7.04,6.842,6.928,1835616
2022-09-22,6.868,7.156,6.78,7.04,2055176
2022-09-23,7.13,7.13,6.822,6.9,1277070
2022-09-26,6.666,6.758,6.3,6.434,4956302
2022-09-27,6.542,6.73,6.452,6.52,2549435
2022-09-28,6.4,6.574,6.238,6.5,1921899
2022-09-29,6.49,6.49,6.12,6.2,2112336
2022-09-30,6.298,6.42,6.2,6.276,2248640
2022-10-03,6.324,6.41,6.006,6.382,2111885
2022-10-04,6.46,6.674,6.412,6.492,1292739
2022-10-05,6.52,6.52,6.34,6.362,1259961
2022-10-06,6.402,6.552,6.23,6.3,1661754
2022-10-07,6.25,6.326,6.08,6.126,1403670
2022-10-10,6.148,6.148,5.82,5.82,1454005
2022-10-11,5.886,5.96,5.7,5.748,1793633
2022-10-12,5.818,5.928,5.62,5.662,4562142
2022-10-13,5.732,5.75,5.33,5.422,2722673
2022-10-14,5.524,5.64,5.3,5.334,2335468
2022-10-17,5.36,5.748,5.36,5.588,2156872
2022-10-18,5.646,5.65,5.16,5.226,4307126
2022-10-19,5.204,5.204,4.921,4.954,5150596
2022-10-20,4.94,5.046,4.79,4.877,5128288
2022-10-21,4.95,4.95,4.664,4.739,3152481
2022-10-24,4.84,4.87,4.672,4.739,3742498
2022-10-25,4.826,5.248,4.8,5.05,5274661
2022-10-26,5.08,5.298,5.038,5.2,3376541
2022-10-27,5.24,5.24,5.022,5.172,3220863
2022-10-28,5.15,5.34,5.09,5.33,3334553
2022-10-31,5.358,5.676,5.35,5.45,4667021
2022-11-02,5.55,5.85,5.55,5.838,6608954
2022-11-03,5.706,5.938,5.63,5.796,4219854
2022-11-04,5.862,6.2,5.772,6.186,6476129
2022-11-07,6.25,6.54,5.67,5.764,12262511
2022-11-08,5.77,6.004,5.586,5.89,5951553
2022-11-09,5.888,6.02,5.82,6.01,4281882
2022-11-10,6.018,6.26,5.782,6.248,3583371
2022-11-14,6.25,6.446,6.148,6.272,4815184
2022-11-15,6.3,6.36,6.08,6.314,4021697
2022-11-16,6.124,6.39,6.12,6.326,4396795
2022-11-17,6.326,6.72,6.304,6.602,4172979
2022-11-18,6.602,6.686,6.402,6.558,3522009
2022-11-21,6.576,6.826,6.472,6.72,3241801
2022-11-22,6.75,6.99,6.692,6.824,3553524
2022-11-23,6.826,6.944,6.568,6.606,4331427
2022-11-24,6.588,6.614,6.31,6.486,3533986
2022-11-25,6.5,6.624,6.422,6.528,2271541
2022-11-28,6.54,6.556,6.41,6.446,2207744
2022-11-29,6.472,6.498,6.262,6.38,3502122
2022-11-30,6.466,6.568,6.366,6.47,3828939
2022-12-01,6.56,6.76,6.56,6.76,2872313
2022-12-02,6.72,6.75,6.524,6.59,2776090
2022-12-05,6.592,6.82,6.586,6.752,2001604
2022-12-06,6.7,6.892,6.65,6.788,1633939
2022-12-07,6.816,7.1,6.748,7.004,2915154
2022-12-08,7.06,7.222,6.968,7.122,3366801
2022-12-09,7.178,7.178,6.768,6.898,4226884
2022-12-12,6.97,7.03,6.85,6.97,1768362
2022-12-13,7.016,7.016,6.748,6.83,3914549
2022-12-14,6.83,6.878,6.668,6.686,2167794
2022-12-15,6.69,6.784,6.552,6.578,2306152
2022-12-16,6.55,6.71,6.526,6.572,8280260
2022-12-19,6.614,6.808,6.476,6.548,2727564
2022-12-20,6.48,6.728,6.42,6.722,1478855
2022-12-21,6.71,6.74,6.602,6.68,1572962
2022-12-22,6.716,6.72,6.588,6.672,1840376
2022-12-23,6.67,6.698,6.584,6.69,1483412
2022-12-27,6.7,6.71,6.488,6.498,1458981
2022-12-28,6.48,6.732,6.472,6.68,1806322
2022-12-29,6.72,6.83,6.658,6.804,1595214
2022-12-30,6.81,6.942,6.754,6.884,1495533
2023-01-02,6.886,6.95,6.842,6.92,714676
2023-01-03,6.93,7.102,6.8,6.832,2416881
2023-01-04,6.9,6.976,6.85,6.946,1963265
2023-01-05,6.97,6.988,6.844,6.898,3152730
2023-01-09,6.91,7.02,6.58,6.7,7120050
2023-01-10,6.7,6.736,6.564,6.668,3319338
2023-01-11,6.68,6.936,6.68,6.81,4346674
2023-01-12,6.868,7.022,6.868,6.974,3703057
2023-01-13,6.978,7.054,6.896,6.92,2263715
2023-01-16,6.94,6.994,6.734,6.916,2036451
2023-01-17,6.89,7.0,6.864,6.95,1706358
2023-01-18,6.95,7.298,6.9,7.218,3435502
2023-01-19,7.2,7.32,7.022,7.306,3435950
2023-01-20,7.34,7.38,7.16,7.26,1583575
2023-01-23,7.26,7.48,7.188,7.47,1893020
2023-01-24,7.5,7.92,7.49,7.584,3306317
2023-01-25,7.6,7.64,7.34,7.442,1747278
2023-01-26,7.61,7.628,7.42,7.554,1433689
2023-01-27,7.55,7.626,7.48,7.56,1517697
2023-01-30,7.56,7.624,7.382,7.59,1799554
2023-01-31,7.59,7.676,7.46,7.488,2628332
2023-02-01,7.5,7.554,7.03,7.03,3416878
2023-02-02,7.25,7.4,7.076,7.118,2613193
2023-02-03,7.232,7.232,6.976,6.986,1454778
2023-02-06,7.016,7.028,6.74,6.77,2491602
2023-02-07,6.8,6.88,6.682,6.8,1484858
2023-02-08,6.89,6.94,6.766,6.872,1488957
2023-02-09,6.92,6.97,6.826,6.916,1205183
2023-02-10,6.95,6.95,6.702,6.85,2226711
2023-02-13,6.88,6.906,6.674,6.736,2165491
2023-02-14,6.75,6.828,6.712,6.766,1280195
2023-02-15,6.818,6.818,6.684,6.752,783161
2023-02-16,6.822,6.876,6.7,6.766,1146317
2023-02-17,6.76,6.898,6.704,6.898,1969089
2023-02-20,6.89,6.92,6.82,6.92,660309
2023-02-21,6.95,6.95,6.71,6.772,1152614
2023-02-22,6.802,6.802,6.628,6.686,2209714
2023-02-23,6.752,6.77,6.654,6.758,986388
2023-02-24,6.8,6.8,6.574,6.624,1308306
2023-02-27,6.66,6.706,6.61,6.66,661475
2023-02-28,6.66,6.736,6.568,6.68,3168714
2023-03-01,6.74,6.84,6.708,6.74,1333904
2023-03-02,6.712,6.712,6.444,6.444,3212237
2023-03-03,6.42,6.458,6.23,6.36,3525758
2023-03-06,6.4,6.618,6.37,6.606,2204701
2023-03-07,6.61,6.744,6.56,6.644,1912007
2023-03-08,6.69,6.69,6.42,6.516,2618158
2023-03-09,6.532,6.69,6.51,6.624,2578860
2023-03-10,6.52,6.582,6.382,6.506,2233584
2023-03-13,6.542,6.578,6.25,6.336,2148660
2023-03-14,6.31,6.33,6.132,6.166,2766490
2023-03-15,6.238,6.316,6.06,6.104,1925737
2023-03-16,6.12,6.184,5.85,6.044,2563529
2023-03-17,6.12,6.176,5.83,5.86,4849932
2023-03-20,5.94,5.986,5.756,5.982,1698396
2023-03-21,6.048,6.252,5.996,6.212,2114630
