Date,Open,High,Low,Close,Volume
2024-07-10,2.4,2.4,2.37,2.39,1726.0
2024-07-11,2.39,2.39,2.37,2.38,605.0
2024-07-12,2.41,2.41,2.34,2.36,2413.0
2024-07-15,2.36,2.41,2.33,2.41,433.0
2024-07-16,2.35,2.39,2.35,2.39,70.0
2024-07-17,2.36,2.41,2.34,2.37,2094.0
2024-07-18,2.37,2.37,2.33,2.33,1508.0
2024-07-19,2.33,2.4,2.33,2.4,224.0
2024-07-22,2.4,2.4,2.4,2.4,1645.0
2024-07-23,2.4,2.4,2.35,2.35,1408.0
2024-07-24,2.35,2.4,2.35,2.4,1170.0
2024-07-25,2.4,2.4,2.35,2.4,15.0
2024-07-26,2.4,2.4,2.4,2.4,8.0
2024-07-29,2.4,2.4,2.35,2.39,2621.0
2024-07-30,2.39,2.39,2.39,2.39,195.0
2024-07-31,2.39,2.41,2.31,2.39,79392.0
2024-08-01,2.39,2.39,2.39,2.39,509.0
2024-08-02,2.39,2.39,2.39,2.39,8.0
2024-08-05,2.35,2.35,2.26,2.31,9224.0
2024-08-06,2.35,2.35,2.35,2.35,395.0
2024-08-07,2.35,2.39,2.35,2.39,2353.0
2024-08-08,2.39,2.39,2.28,2.29,5187.0
2024-08-09,2.3,2.3,2.24,2.27,8812.0
2024-08-12,2.27,2.3,2.24,2.25,2779.0
2024-08-13,2.3,2.3,2.24,2.24,404.0
2024-08-14,2.24,2.25,2.24,2.25,1090.0
2024-08-16,2.29,2.29,2.23,2.29,3560.0
2024-08-19,2.29,2.39,2.23,2.32,11003.0
2024-08-20,2.36,2.84,2.36,2.76,88733.0
2024-08-21,2.79,3.34,2.79,2.92,57113.0
2024-08-22,2.9,3.18,2.65,2.82,25629.0
2024-08-23,2.9,2.9,2.77,2.89,3880.0
2024-08-26,2.89,3.48,2.89,3.09,47013.0
2024-08-27,3.09,3.09,2.79,3.02,35321.0
2024-08-28,3.03,3.07,2.8,2.8,2903.0
2024-08-29,2.95,2.95,2.81,2.86,3070.0
2024-08-30,2.95,2.95,2.83,2.95,736.0
2024-09-02,2.95,2.99,2.86,2.97,3578.0
2024-09-03,2.97,3.09,2.79,2.9,7638.0
2024-09-04,2.9,3.1,2.8,3.09,10123.0
2024-09-05,3.09,3.17,2.92,3.04,20809.0
2024-09-06,3.04,3.04,2.88,2.88,4474.0
2024-09-09,2.99,2.99,2.81,2.92,5037.0
2024-09-10,3.15,3.15,2.93,2.93,9476.0
2024-09-11,2.93,2.94,2.87,2.94,3370.0
2024-09-12,3.04,3.05,2.78,2.83,10808.0
2024-09-13,2.85,2.85,2.83,2.83,59.0
2024-09-16,2.76,2.84,2.76,2.8,670.0
2024-09-17,2.84,3.1,2.75,2.85,47515.0
2024-09-18,2.89,2.93,2.82,2.82,3229.0
2024-09-19,2.91,2.91,2.62,2.62,29251.0
2024-09-20,2.7,2.8,2.65,2.7,3213.0
2024-09-23,2.7,2.7,2.59,2.61,3628.0
2024-09-24,2.66,2.66,2.54,2.54,3947.0
2024-09-25,2.54,2.63,2.54,2.63,1406.0
2024-09-26,2.63,2.63,2.57,2.63,32.0
2024-09-27,2.63,2.63,2.52,2.6,1243.0
2024-09-30,2.6,2.6,2.54,2.55,305.0
2024-10-01,2.55,2.6,2.55,2.6,2481.0
2024-10-02,2.6,2.64,2.53,2.63,1971.0
2024-10-03,2.63,2.63,2.48,2.48,7733.0
2024-10-04,2.53,2.59,2.48,2.55,3676.0
2024-10-07,2.58,2.58,2.53,2.58,837.0
2024-10-08,2.61,2.61,2.35,2.4,14845.0
2024-10-09,2.45,2.53,2.4,2.45,598.0
2024-10-10,2.4,2.45,2.4,2.45,168.0
2024-10-11,2.53,2.53,2.45,2.45,508.0
2024-10-14,2.53,2.53,2.4,2.45,835.0
2024-10-15,2.52,2.59,2.46,2.46,3584.0
2024-10-16,2.46,2.5,2.46,2.47,2497.0
2024-10-17,2.48,2.48,2.34,2.44,2631.0
2024-10-18,2.45,2.45,2.34,2.4,1633.0
2024-10-21,2.45,2.5,2.34,2.4,1706.0
2024-10-22,2.45,2.45,2.3,2.32,10311.0
2024-10-23,2.4,2.42,2.16,2.29,14128.0
2024-10-24,2.29,2.47,2.29,2.36,11478.0
2024-10-25,2.36,2.36,2.34,2.35,1706.0
2024-10-28,2.34,2.34,2.22,2.3,2379.0
2024-10-29,2.28,2.36,2.25,2.32,6886.0
2024-10-30,2.36,2.38,2.32,2.32,2419.0
2024-10-31,2.38,2.38,2.26,2.31,2624.0
2024-11-04,2.3,2.34,2.3,2.34,4440.0
