Date,Open,High,Low,Close,Volume
2024-12-02,102.0,102.21,99.87,101.51,6103624
2024-12-03,101.09,102.12,99.89,101.57,7101505
2024-12-04,100.89,101.99,100.37,100.7,6151143
2024-12-05,101.0,101.3,99.19,99.23,7194768
2024-12-06,98.93,100.62,98.435,100.11,6297011
2024-12-09,100.07,100.57,98.515,99.31,7271601
2024-12-10,99.14,99.25,97.94,98.16,8192465
2024-12-11,98.5,99.3858,97.98,98.42,8007330
2024-12-12,98.22,98.97,97.415,97.82,6375869
2024-12-13,97.335,98.08,96.94,97.42,5910905
2024-12-16,96.945,97.0,93.1,93.12,12395854
2024-12-17,93.01,93.94,92.05,92.09,8536091
2024-12-18,91.77,92.25,89.64,89.9,10886556
2024-12-19,90.24,91.58,88.67,88.76,14628408
2024-12-20,87.86,89.155,87.07,87.97,26477494
2024-12-23,87.5,87.88,86.3,87.44,11203734
2024-12-24,87.4,89.92,87.17,89.91,5422008
2024-12-26,89.37,92.05,89.37,91.86,7542683
2024-12-27,90.9,93.1987,90.88,92.25,8200370
2024-12-30,91.08,91.32,89.84,90.58,8404474
2024-12-31,90.73,91.77,90.585,91.25,4220716
2025-01-02,91.55,92.66,91.41,92.17,8642734
2025-01-03,92.4,93.12,91.8,92.58,4966947
2025-01-06,92.04,94.5,91.94,93.13,8768050
2025-01-07,92.77999877929688,93.6500015258789,91.86000061035156,92.83999633789062,6638300
2025-01-08,92.97,93.005,92.0081,92.6,6243744
2025-01-10,92.19,92.7922,91.93,92.25,6550328
2025-01-13,92.265,93.59,91.375,93.51,6912144
2025-01-14,94.01000213623047,94.88999938964844,92.5199966430664,93.06999969482422,6406200
2025-01-15,94.1,94.474,92.945,93.08,4554743
2025-01-16,92.87,94.7699,92.87,94.43,6548184
2025-01-17,95.58,95.86,95.1,95.13,8362145
2025-01-21,95.41,98.58,95.41,97.98,8803122
2025-01-22,97.98,98.535,97.46,97.73,7678895
2025-01-23,98.0,98.03,97.02,97.99,7901763
2025-01-24,97.79,99.01,97.62,98.81,6957146
2025-01-27,98.52,100.3299,98.102,100.02,9654891
2025-01-28,98.94,100.68,98.5901,100.41,14736485
2025-01-29,102.7,110.08,102.68,108.58,40769321
