Date,Open,High,Low,Close,Volume
2024-12-02,205.907,206.969,205.064,206.616,5205251
2024-12-03,206.616,207.957,205.821,206.224,4952730
2024-12-04,205.655,207.582,204.143,207.362,5137462
2024-12-05,207.786,210.797,205.655,209.133,4646604
2024-12-06,208.373,211.432,208.373,209.971,4753746
2024-12-09,207.582,209.177,203.701,204.0,6891365
2024-12-10,204.967,206.934,202.493,205.415,6433327
2024-12-11,208.108,209.782,206.741,209.681,4958772
2024-12-12,209.957,211.434,208.2,208.727,3733543
2024-12-13,207.582,208.389,206.535,207.09,4141448
2024-12-16,206.259,207.24,203.667,204.101,8646625
2024-12-17,203.184,205.095,202.423,204.21,5567360
2024-12-18,204.21,204.699,195.691,195.828,7984117
2024-12-19,197.957,198.891,195.966,197.297,7024599
2024-12-20,196.308,201.449,196.308,199.998,11711274
2024-12-23,200.719,200.901,198.277,200.574,4171007
2024-12-24,201.492,202.944,200.082,202.944,1984998
2024-12-26,201.799,203.059,201.75,201.878,1733348
2024-12-27,200.45,201.189,198.712,199.554,2939746
2024-12-30,197.777,198.726,195.619,197.712,3729302
2024-12-31,197.677,198.361,196.618,196.823,2657880
2025-01-02,197.704,199.653,193.981,195.114,3566862
2025-01-03,195.608,196.566,193.274,194.264,4179136
2025-01-06,195.802,195.802,191.955,194.5,7023311
2025-01-07,195.2563934326172,195.57440185546875,191.52000427246094,191.843994140625,5507500
2025-01-08,190.504,193.209,189.576,193.02,6722513
2025-01-10,190.516,191.571,186.195,187.755,7732064
2025-01-13,186.596,189.381,184.617,188.72,5299201
2025-01-14,189.431,190.511,188.212,189.31,5202419
2025-01-15,192.199,194.093,190.772,191.325,5815500
2025-01-16,190.855,194.175,190.079,192.725,4756776
2025-01-17,196.092,197.16,193.892,195.174,6574689
2025-01-21,195.12,195.483,182.822,185.651,10251915
2025-01-22,185.457,186.367,182.065,182.988,9413715
2025-01-23,183.046,191.04,182.586,190.87,10156016
2025-01-24,190.229,191.259,187.131,188.76,6059627
2025-01-27,184.48,189.404,184.48,185.213,7566141
