Date,Open,High,Low,Close,Volume
2024-12-02,80.19,81.02,79.97,80.82,2984028
2024-12-03,80.19,80.58,79.6,79.98,2372616
2024-12-04,80.4,80.82,80.2,80.58,1914806
2024-12-05,80.26,80.92,80.13,80.73,1822976
2024-12-06,81.23,81.4,80.86,81.145,2657043
2024-12-09,81.0,81.49,80.5,80.64,2639593
2024-12-10,80.15,80.8447,79.38,80.06,2456741
2024-12-11,80.59,81.82,80.315,81.25,2150620
2024-12-12,81.07,81.6,80.33,80.37,1869410
2024-12-13,80.047,80.65,79.49,80.06,2698680
2024-12-16,80.34,80.965,79.85,80.7,2587124
2024-12-17,81.32,82.46,80.87,81.03,3368519
2024-12-18,80.675,81.705,78.24,78.26,2771837
2024-12-19,78.64,80.08,78.64,79.49,3391375
2024-12-20,78.78,80.27,78.33,79.23,5945875
2024-12-23,78.76,79.43,78.61,79.0,2526595
2024-12-24,78.88,79.52,78.65,79.49,917247
2024-12-26,79.18,80.07,79.03,79.89,1639812
2024-12-27,79.22,80.12,78.58,79.2,1962412
2024-12-30,78.45,78.6,75.63,76.75,3209168
2024-12-31,77.0,77.35,76.34,76.9,2039863
2025-01-02,77.48,77.86,76.18,76.41,2196010
2025-01-03,76.86,77.2,75.72,76.38,2570720
2025-01-06,76.24,77.22,75.645,75.91,3248855
2025-01-07,75.79000091552734,76.79000091552734,75.29000091552734,75.62000274658203,1860300
2025-01-08,75.62,76.07,74.78,76.02,2407540
2025-01-10,75.2,76.62153,75.2,75.32,2985682
2025-01-13,74.98,76.8,74.585,76.68,3192125
2025-01-14,76.54000091552734,77.6500015258789,76.43000030517578,77.16999816894531,2940900
2025-01-15,78.01,78.14,76.93,77.78,2119644
2025-01-16,77.4,77.635,76.26,77.43,2995064
2025-01-17,78.69,78.7,77.24,77.81,3580361
2025-01-21,78.03,78.87,77.545,78.45,3385174
2025-01-22,78.3,79.105,77.84,79.05,2562426
2025-01-23,79.02,79.94,78.4201,79.68,2182568
2025-01-24,79.5,80.38,79.41,80.05,1257359
2025-01-27,79.5,81.335,79.36,81.12,3127750
2025-01-28,80.75,81.37,80.04,80.96,2555672
2025-01-29,81.05,81.69,80.77,81.19,1662775
2025-01-30,82.0,83.47000122070312,81.79000091552734,82.76000213623047,4444100
2025-01-31,82.83999633789062,83.4000015258789,82.48999786376953,82.61000061035156,2647700
2025-02-03,81.95999908447266,83.31999969482422,81.44000244140625,82.9000015258789,3389300
2025-02-04,82.39,83.97,82.39,83.54,3640573
2025-02-05,81.83999633789062,83.87000274658203,81.83999633789062,83.5999984741211,4783300
